in:VertDyn,in:HghtMstr,in:HghtE1Bc,in:HghtE1Pa,out:# Woningen,out:PB_tot,out:PB_E1,out:PB_E2,out:PB_NormBloksPos,out:PB E1Bb+Bc+Pa,out:PB_probsolved,out:PB_E1A,out:PB_E1B,out:PB_E1C,out:PB_E2A,out:PB_E2B,out:PB_E2C,out:PB_P1,img
3,7,4,2,1108,225,-29,254,False,-27,False,-2,34,-24,78,70,106,-37,VertDyn3_HghtMstr7_HghtE1Bc4_HghtE1Pa2_Birdseye_AL3.png
4,7,4,2,1226,156,-29,185,False,-27,False,-2,34,-24,48,50,87,-37,VertDyn4_HghtMstr7_HghtE1Bc4_HghtE1Pa2_Birdseye_AL3.png
2,6,5,2,954,315,-9,324,True,-31,False,22,48,-42,108,91,125,-37,VertDyn2_HghtMstr6_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
3,6,5,2,1073,245,-9,254,True,-31,False,22,48,-42,78,70,106,-37,VertDyn3_HghtMstr6_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
4,6,5,2,1140,206,-9,215,True,-31,False,22,48,-42,78,50,87,-37,VertDyn4_HghtMstr6_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
2,7,5,2,1106,226,-47,273,False,-45,False,-2,34,-42,78,70,125,-37,VertDyn2_HghtMstr7_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
3,7,5,2,1138,207,-47,254,False,-45,False,-2,34,-42,78,70,106,-37,VertDyn3_HghtMstr7_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
4,7,5,2,1256,138,-47,185,False,-45,False,-2,34,-42,48,50,87,-37,VertDyn4_HghtMstr7_HghtE1Bc5_HghtE1Pa2_Birdseye_AL3.png
2,6,3,4,911,337,13,324,True,-9,False,22,48,-8,108,91,125,-49,VertDyn2_HghtMstr6_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
3,6,3,4,1030,267,13,254,True,-9,False,22,48,-8,78,70,106,-49,VertDyn3_HghtMstr6_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
4,6,3,4,1097,228,13,215,True,-9,False,22,48,-8,78,50,87,-49,VertDyn4_HghtMstr6_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
2,7,3,4,1063,248,-25,273,False,-23,False,-2,34,-8,78,70,125,-49,VertDyn2_HghtMstr7_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
3,7,3,4,1095,229,-25,254,False,-23,False,-2,34,-8,78,70,106,-49,VertDyn3_HghtMstr7_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
4,7,3,4,1213,160,-25,185,False,-23,False,-2,34,-8,48,50,87,-49,VertDyn4_HghtMstr7_HghtE1Bc3_HghtE1Pa4_Birdseye_AL3.png
2,6,4,4,940,321,-3,324,True,-25,False,22,48,-24,108,91,125,-49,VertDyn2_HghtMstr6_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
3,6,4,4,1059,251,-3,254,True,-25,False,22,48,-24,78,70,106,-49,VertDyn3_HghtMstr6_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
4,6,4,4,1126,212,-3,215,True,-25,False,22,48,-24,78,50,87,-49,VertDyn4_HghtMstr6_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
2,7,4,4,1092,232,-41,273,False,-39,False,-2,34,-24,78,70,125,-49,VertDyn2_HghtMstr7_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
3,7,4,4,1124,213,-41,254,False,-39,False,-2,34,-24,78,70,106,-49,VertDyn3_HghtMstr7_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
4,7,4,4,1242,144,-41,185,False,-39,False,-2,34,-24,48,50,87,-49,VertDyn4_HghtMstr7_HghtE1Bc4_HghtE1Pa4_Birdseye_AL3.png
2,6,5,4,970,303,-21,324,True,-43,False,22,48,-42,108,91,125,-49,VertDyn2_HghtMstr6_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
3,6,5,4,1089,233,-21,254,True,-43,False,22,48,-42,78,70,106,-49,VertDyn3_HghtMstr6_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
4,6,5,4,1156,194,-21,215,True,-43,False,22,48,-42,78,50,87,-49,VertDyn4_HghtMstr6_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
2,7,5,4,1122,214,-59,273,False,-57,False,-2,34,-42,78,70,125,-49,VertDyn2_HghtMstr7_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
3,7,5,4,1154,195,-59,254,False,-57,False,-2,34,-42,78,70,106,-49,VertDyn3_HghtMstr7_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
