in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:AllGalPosPPB,out:Opbr/Kosten (%),out:Kosten BVO (mln  €),out:Opbr GO (mln  €),out:GO/BVO,img
0,2,7,2,1097,185,False,96,206,403,0.742,Config0_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
1,2,7,2,935,49,False,91,179,343,0.736,Config1_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
2,2,7,2,1084,198,False,95,203,397,0.739,Config2_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
3,2,7,2,1024,451,True,90,199,378,0.741,Config3_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
4,2,7,2,1018,228,False,94,194,377,0.741,Config4_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
0,3,7,2,1127,165,False,96,211,414,0.742,Config0_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
1,3,7,2,1028,-11,False,94,195,377,0.737,Config1_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
2,3,7,2,1113,179,False,96,208,408,0.738,Config2_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
3,3,7,2,1160,362,True,94,221,428,0.741,Config3_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
4,3,7,2,1045,210,False,95,199,388,0.74,Config4_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
0,2,6,3,852,145,False,81,189,342,0.721,Config0_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
1,2,6,3,768,-90,False,81,171,310,0.721,Config1_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
2,2,6,3,869,187,False,83,194,355,0.723,Config2_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
3,2,6,3,979,113,False,82,218,398,0.729,Config3_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
4,2,6,3,848,163,True,82,189,344,0.724,Config4_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
0,3,6,3,957,69,False,84,209,385,0.723,Config0_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
1,3,6,3,900,-185,False,85,197,364,0.722,Config1_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
2,3,6,3,965,120,False,85,212,393,0.724,Config2_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
3,3,6,3,1011,89,False,83,224,411,0.729,Config3_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
4,3,6,3,955,86,True,85,209,387,0.725,Config4_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
0,2,7,3,1015,29,False,85,220,408,0.724,Config0_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
1,2,7,3,866,-163,False,84,191,352,0.722,Config1_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
2,2,7,3,1029,70,False,87,226,422,0.723,Config2_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
3,2,7,3,1032,75,False,83,228,419,0.729,Config3_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
4,2,7,3,1001,50,False,85,220,408,0.725,Config4_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
0,3,7,3,1044,7,False,86,226,420,0.723,Config0_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
1,3,7,3,947,-219,False,86,206,383,0.722,Config1_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
2,3,7,3,1055,55,False,87,230,430,0.723,Config2_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
3,3,7,3,1164,-21,False,86,255,474,0.73,Config3_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
4,3,7,3,1026,34,False,86,224,417,0.726,Config4_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
0,2,6,4,952,285,False,83,177,324,0.738,Config0_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
1,2,6,4,864,342,False,80,163,294,0.733,Config1_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
2,2,6,4,972,320,False,82,179,327,0.736,Config2_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
3,2,6,4,1004,451,True,82,189,344,0.736,Config3_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
4,2,6,4,867,287,True,82,164,299,0.735,Config4_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
0,3,6,4,1066,212,False,87,195,364,0.739,Config0_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
1,3,6,4,1019,244,False,85,188,347,0.735,Config1_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
2,3,6,4,1083,249,False,85,197,364,0.737,Config2_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
3,3,6,4,1036,430,True,83,194,355,0.736,Config3_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
4,3,6,4,978,215,True,86,181,338,0.736,Config4_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
0,2,7,4,1137,169,False,88,205,387,0.739,Config0_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
1,2,7,4,973,273,False,83,180,331,0.734,Config1_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
2,2,7,4,1156,206,False,87,208,388,0.737,Config2_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
3,2,7,4,1057,418,True,83,197,361,0.737,Config3_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
4,2,7,4,1026,188,False,87,189,353,0.736,Config4_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
0,3,7,4,1166,150,False,89,210,397,0.739,Config0_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
1,3,7,4,1073,209,False,86,196,365,0.735,Config1_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
2,3,7,4,1188,185,False,87,213,399,0.737,Config2_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
3,3,7,4,1198,329,True,87,219,409,0.737,Config3_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
4,3,7,4,1052,170,False,88,193,362,0.736,Config4_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
0,2,6,5,998,298,False,82,173,316,0.736,Config0_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
1,2,6,5,885,329,False,79,158,285,0.73,Config1_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
2,2,6,5,982,325,False,83,174,318,0.733,Config2_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
3,2,6,5,1064,452,True,81,191,348,0.737,Config3_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
4,2,6,5,915,322,True,82,164,297,0.734,Config4_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
0,3,6,5,1117,228,False,85,191,354,0.737,Config0_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
1,3,6,5,1040,238,False,84,181,334,0.732,Config1_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
2,3,6,5,1095,259,False,86,190,354,0.734,Config2_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
3,3,6,5,1099,432,True,82,197,359,0.737,Config3_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
4,3,6,5,1035,252,True,85,181,335,0.735,Config4_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
0,2,7,5,1191,186,False,87,202,377,0.737,Config0_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
1,2,7,5,999,261,False,83,175,320,0.731,Config1_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
2,2,7,5,1167,216,False,88,201,378,0.735,Config2_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
3,2,7,5,1124,416,True,83,200,366,0.738,Config3_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
4,2,7,5,1083,224,False,86,188,350,0.736,Config4_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
0,3,7,5,1223,167,False,87,206,387,0.737,Config0_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
1,3,7,5,1098,203,False,86,190,352,0.732,Config1_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
2,3,7,5,1200,197,False,88,206,389,0.734,Config2_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
3,3,7,5,1271,330,True,86,222,413,0.738,Config3_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
