in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:PB_E1Ba,out:PB_E1Bb,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1_CombiBlok,out:PB_AllBlocksPos,img
1,5,5,10,1057,113,-7,21,5,67,27,0,False,Variant1_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,5,5,10,1057,-218,-103,-76,-133,67,27,0,False,Variant2_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,6,5,10,957,166,30,42,30,50,14,0,True,Variant0_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
1,6,5,10,1139,56,-17,13,-6,52,14,0,False,Variant1_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,6,5,10,1139,-275,-113,-84,-144,52,14,0,False,Variant2_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,7,5,10,1078,77,10,27,5,35,0,0,True,Variant0_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
1,7,5,10,1220,0,-28,5,-16,39,0,0,False,Variant1_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,7,5,10,1220,-331,-124,-92,-154,39,0,0,False,Variant2_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,5,6,10,868,232,48,50,54,61,19,0,True,Variant0_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,5,6,10,1087,97,-7,16,5,64,19,0,False,Variant1_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,5,6,10,1087,-234,-103,-81,-133,64,19,0,False,Variant2_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,6,6,10,987,148,30,37,30,46,5,0,True,Variant0_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,6,6,10,1169,39,-17,8,-6,49,5,0,False,Variant1_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,6,6,10,1169,-292,-113,-89,-144,49,5,0,False,Variant2_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,7,6,10,1108,60,10,23,5,31,-9,0,False,Variant0_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,7,6,10,1250,-17,-28,1,-16,35,-9,0,False,Variant1_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,7,6,10,1250,-348,-124,-96,-154,35,-9,0,False,Variant2_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,5,5,11,838,248,48,54,54,65,27,0,True,Variant0_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,5,5,11,1102,81,-18,14,-9,67,27,0,False,Variant1_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,5,5,11,1102,-250,-114,-83,-147,67,27,0,False,Variant2_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,6,5,11,957,166,30,42,30,50,14,0,True,Variant0_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,6,5,11,1184,25,-28,6,-19,52,14,0,False,Variant1_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,6,5,11,1184,-306,-124,-91,-157,52,14,0,False,Variant2_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,7,5,11,1078,77,10,27,5,35,0,0,True,Variant0_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,7,5,11,1264,-30,-38,-1,-30,39,0,0,False,Variant1_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,7,5,11,1264,-361,-134,-98,-168,39,0,0,False,Variant2_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,5,6,11,868,232,48,50,54,61,19,0,True,Variant0_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,5,6,11,1132,65,-18,9,-9,64,19,0,False,Variant1_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,5,6,11,1132,-266,-114,-88,-147,64,19,0,False,Variant2_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
0,6,6,11,987,148,30,37,30,46,5,0,True,Variant0_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,6,6,11,1214,8,-28,1,-19,49,5,0,False,Variant1_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,6,6,11,1214,-323,-124,-96,-157,49,5,0,False,Variant2_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
0,7,6,11,1108,60,10,23,5,31,-9,0,False,Variant0_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,7,6,11,1294,-48,-38,-6,-30,35,-9,0,False,Variant1_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,7,6,11,1294,-379,-134,-103,-168,35,-9,0,False,Variant2_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
