in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:Opbr/Kosten (%),out:Kosten BVO (€),out:Opbr GO (€),out:GO/BVO,img
4,2,6,2,860,329,89 %,169.511.814,320.268.367,0.739,Config4_VertDyn2_HghtMstr6_Prog2_Birdseye_AL3.png
0,3,6,2,1028,228,94 %,195.499.742,378.627.793,0.741,Config0_VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
1,3,6,2,971,25,92 %,185.715.195,357.017.063,0.736,Config1_VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
2,3,6,2,1014,242,93 %,192.862.699,372.591.826,0.738,Config2_VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
3,3,6,2,1006,462,90 %,196.612.095,373.008.853,0.741,Config3_VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
4,3,6,2,970,258,93 %,187.391.508,361.060.657,0.74,Config4_VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
0,2,7,2,1097,185,96 %,206.359.443,403.343.946,0.742,Config0_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
1,2,7,2,935,49,91 %,179.849.234,343.718.739,0.736,Config1_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
2,2,7,2,1084,198,95 %,203.909.293,397.490.988,0.739,Config2_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
3,2,7,2,1024,451,90 %,199.191.731,378.937.811,0.741,Config3_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
4,2,7,2,1018,228,94 %,194.758.858,377.806.678,0.741,Config4_VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
0,3,7,2,1127,165,96 %,211.476.655,414.729.706,0.742,Config0_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
1,3,7,2,1028,-11,94 %,195.004.666,377.820.896,0.737,Config1_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
2,3,7,2,1113,179,96 %,208.817.525,408.439.444,0.738,Config2_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
3,3,7,2,1160,362,94 %,221.345.734,428.732.188,0.741,Config3_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
4,3,7,2,1045,210,95 %,199.413.050,388.065.510,0.74,Config4_VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
0,2,6,3,852,145,81 %,189.158.855,342.617.479,0.721,Config0_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
1,2,6,3,768,-90,81 %,171.500.108,310.620.742,0.721,Config1_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
2,2,6,3,869,187,83 %,194.574.452,355.694.658,0.723,Config2_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
3,2,6,3,979,113,82 %,218.532.362,398.183.193,0.729,Config3_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
