in:Config,in:VertDyn,in:HghtMstr,in:HghtPortiek(en),out:# Woningen,out:PB_tot,out:PB_E1,out:PB_E2,out:PB_NormBloksPos,out:PB E1Bb+Bc+Pa,out:PB_probsolved,out:PB_E1Ba,out:PB_E1Bb,out:PB_E1Bc,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1Pa,img
0,2,6,2,954,315,-9,324,True,-31,False,22,48,-42,108,91,125,-37,Config0_VertDyn2_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
1,2,6,2,901,318,7,311,True,-40,False,47,44,-47,100,100,111,-37,Config1_VertDyn2_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
2,2,6,2,998,314,13,301,True,-9,False,22,62,-34,108,91,102,-37,Config2_VertDyn2_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
3,2,6,2,1088,436,253,183,False,38,False,215,38,78,59,120,-37,-37,Config3_VertDyn2_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
4,2,6,2,939,306,-16,322,False,-1,False,22,36,108,100,114,-37,-37,Config4_VertDyn2_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
0,3,6,2,1073,245,-9,254,True,-31,False,22,48,-42,78,70,106,-37,Config0_VertDyn3_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
1,3,6,2,1056,227,-18,245,True,-40,False,22,44,-47,71,83,91,-37,Config1_VertDyn3_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
2,3,6,2,1111,248,13,235,True,-9,False,22,62,-34,78,74,83,-37,Config2_VertDyn3_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
3,3,6,2,1123,416,253,163,False,38,False,215,38,78,59,100,-37,-37,Config3_VertDyn3_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
4,3,6,2,1059,236,-16,252,False,-1,False,22,36,78,78,96,-37,-37,Config4_VertDyn3_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
0,4,6,2,1169,190,-25,215,True,-47,False,22,48,-58,78,50,87,-37,Config0_VertDyn4_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
1,4,6,2,1120,188,-18,206,True,-40,False,22,44,-47,71,65,70,-37,Config1_VertDyn4_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
