in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:PB_E1Ba,out:PB_E1Bb,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1_CombiBlok,out:PB_AllBlocksPos,img
Portiek -P,6,6,9,1130,-267,-100,-90,-117,35,5,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL6.png
Galerij,7,6,9,1069,89,10,18,54,16,-9,0,False,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL6.png
Portiek,7,6,9,1211,8,-14,0,11,20,-9,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL6.png
Portiek -P,7,6,9,1211,-323,-110,-97,-127,20,-9,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL6.png
Galerij,5,5,10,890,210,29,41,54,50,36,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek,5,5,10,1109,75,-24,10,1,52,36,0,False,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,5,5,10,1109,-256,-120,-87,-137,52,36,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,6,5,10,1010,125,10,27,30,35,23,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek,6,5,10,1190,21,-34,2,-9,39,23,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,6,5,10,1190,-310,-130,-95,-147,39,23,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,7,5,10,1131,37,-10,13,5,20,9,0,False,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek,7,5,10,1271,-37,-44,-5,-20,23,9,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,7,5,10,1271,-368,-140,-102,-158,23,9,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,5,6,10,944,179,29,31,54,46,19,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Portiek,5,6,10,1162,46,-24,1,1,49,19,0,False,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,5,6,10,1162,-285,-120,-96,-137,49,19,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,6,6,10,1064,94,10,18,30,31,5,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Portiek,6,6,10,1243,-10,-34,-7,-9,35,5,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,6,6,10,1243,-341,-130,-104,-147,35,5,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,7,6,10,1185,6,-10,4,5,16,-9,0,False,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
