in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:AllGalPosPPB,out:PB_E1A,out:PB_E1B,out:PB_E1C,out:PB_E2A,out:PB_E2B,out:PB_E2C,out:PB_P1,img
2,7,12,1152,179,False,-4,1,-63,72,76,123,-26,VertDyn2_HghtMstr7_Prog12_Birdseye_AL3.png
3,7,12,1182,160,False,-4,1,-63,72,76,104,-26,VertDyn3_HghtMstr7_Prog12_Birdseye_AL3.png
2,6,13,852,145,False,1,-1,-45,82,25,114,-31,VertDyn2_HghtMstr6_Prog13_Birdseye_AL3.png
3,6,13,957,69,False,2,0,-45,45,6,92,-31,VertDyn3_HghtMstr6_Prog13_Birdseye_AL3.png
2,7,13,1015,29,False,-25,-20,-60,45,6,114,-31,VertDyn2_HghtMstr7_Prog13_Birdseye_AL3.png
3,7,13,1044,7,False,-25,-20,-60,45,6,92,-31,VertDyn3_HghtMstr7_Prog13_Birdseye_AL3.png
2,6,14,868,231,False,15,19,-38,90,58,113,-26,VertDyn2_HghtMstr6_Prog14_Birdseye_AL3.png
3,6,14,970,169,False,15,19,-38,63,41,95,-26,VertDyn3_HghtMstr6_Prog14_Birdseye_AL3.png
2,7,14,1034,130,False,-8,-2,-51,63,41,113,-26,VertDyn2_HghtMstr7_Prog14_Birdseye_AL3.png
3,7,14,1063,112,False,-8,-2,-51,63,41,95,-26,VertDyn3_HghtMstr7_Prog14_Birdseye_AL3.png
2,6,15,952,285,False,16,19,-44,105,94,121,-26,VertDyn2_HghtMstr6_Prog15_Birdseye_AL3.png
3,6,15,1066,212,False,16,19,-44,74,71,102,-26,VertDyn3_HghtMstr6_Prog15_Birdseye_AL3.png
2,7,15,1137,169,False,-8,-2,-61,74,71,121,-26,VertDyn2_HghtMstr7_Prog15_Birdseye_AL3.png
3,7,15,1166,150,False,-8,-2,-61,74,71,102,-26,VertDyn3_HghtMstr7_Prog15_Birdseye_AL3.png
2,6,16,905,265,False,15,19,-37,97,86,111,-26,VertDyn2_HghtMstr6_Prog16_Birdseye_AL3.png
3,6,16,1024,160,False,9,13,-37,60,58,88,-31,VertDyn3_HghtMstr6_Prog16_Birdseye_AL3.png
2,7,16,1082,159,False,-7,-1,-52,69,65,111,-26,VertDyn2_HghtMstr7_Prog16_Birdseye_AL3.png
3,7,16,1119,99,False,-15,-9,-52,60,58,88,-31,VertDyn3_HghtMstr7_Prog16_Birdseye_AL3.png
2,6,17,972,284,False,16,20,-44,107,93,118,-26,VertDyn2_HghtMstr6_Prog17_Birdseye_AL3.png
3,6,17,1089,212,False,16,20,-44,76,71,99,-26,VertDyn3_HghtMstr6_Prog17_Birdseye_AL3.png
2,7,17,1161,170,False,-7,-2,-60,76,71,118,-26,VertDyn2_HghtMstr7_Prog17_Birdseye_AL3.png
3,7,17,1191,151,False,-7,-2,-60,76,71,99,-26,VertDyn3_HghtMstr7_Prog17_Birdseye_AL3.png
2,6,18,998,298,False,22,20,-42,108,91,125,-26,VertDyn2_HghtMstr6_Prog18_Birdseye_AL3.png
3,6,18,1117,228,False,22,20,-42,78,70,106,-26,VertDyn3_HghtMstr6_Prog18_Birdseye_AL3.png
2,7,18,1191,186,False,-2,-1,-58,78,70,125,-26,VertDyn2_HghtMstr7_Prog18_Birdseye_AL3.png
3,7,18,1223,167,False,-2,-1,-58,78,70,106,-26,VertDyn3_HghtMstr7_Prog18_Birdseye_AL3.png
