in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:Opbr/Kosten (%),out:Kosten BVO (mln  €),out:Opbr GO (mln  €),out:GO/BVO,img
4,3,6,3,955,86,85 %,209,387,0.725,Config4_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
0,2,7,3,1015,29,85 %,220,408,0.724,Config0_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
1,2,7,3,866,-163,84 %,191,352,0.722,Config1_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
2,2,7,3,1029,70,87 %,226,422,0.723,Config2_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
3,2,7,3,1032,75,83 %,228,419,0.729,Config3_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
4,2,7,3,1001,50,85 %,220,408,0.725,Config4_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
0,3,7,3,1044,7,86 %,226,420,0.723,Config0_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
1,3,7,3,947,-219,86 %,206,383,0.722,Config1_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
2,3,7,3,1055,55,87 %,230,430,0.723,Config2_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
3,3,7,3,1164,-21,86 %,255,474,0.73,Config3_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
4,3,7,3,1026,34,86 %,224,417,0.726,Config4_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
0,2,6,4,952,285,83 %,177,324,0.738,Config0_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
1,2,6,4,864,342,80 %,163,294,0.733,Config1_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
2,2,6,4,972,320,82 %,179,327,0.736,Config2_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
3,2,6,4,1004,451,82 %,189,344,0.736,Config3_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
4,2,6,4,867,287,82 %,164,299,0.735,Config4_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
0,3,6,4,1066,212,87 %,195,364,0.739,Config0_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
1,3,6,4,1019,244,85 %,188,347,0.735,Config1_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
2,3,6,4,1083,249,85 %,197,364,0.737,Config2_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
3,3,6,4,1036,430,83 %,194,355,0.736,Config3_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
4,3,6,4,978,215,86 %,181,338,0.736,Config4_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
0,2,7,4,1137,169,88 %,205,387,0.739,Config0_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
1,2,7,4,973,273,83 %,180,331,0.734,Config1_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
2,2,7,4,1156,206,87 %,208,388,0.737,Config2_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
3,2,7,4,1057,418,83 %,197,361,0.737,Config3_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
4,2,7,4,1026,188,87 %,189,353,0.736,Config4_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
0,3,7,4,1166,150,89 %,210,397,0.739,Config0_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
1,3,7,4,1073,209,86 %,196,365,0.735,Config1_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
2,3,7,4,1188,185,87 %,213,399,0.737,Config2_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
3,3,7,4,1198,329,87 %,219,409,0.737,Config3_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
4,3,7,4,1052,170,88 %,193,362,0.736,Config4_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
0,2,6,5,998,298,82 %,173,316,0.736,Config0_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
1,2,6,5,885,329,79 %,158,285,0.73,Config1_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
2,2,6,5,982,325,83 %,174,318,0.733,Config2_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
3,2,6,5,1064,452,81 %,191,348,0.737,Config3_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
4,2,6,5,915,322,82 %,164,297,0.734,Config4_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
0,3,6,5,1117,228,85 %,191,354,0.737,Config0_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
1,3,6,5,1040,238,84 %,181,334,0.732,Config1_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
2,3,6,5,1095,259,86 %,190,354,0.734,Config2_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
3,3,6,5,1099,432,82 %,197,359,0.737,Config3_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
4,3,6,5,1035,252,85 %,181,335,0.735,Config4_VertDyn3_HghtMstr6_Prog5_Birdseye_AL3.png
0,2,7,5,1191,186,87 %,202,377,0.737,Config0_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
1,2,7,5,999,261,83 %,175,320,0.731,Config1_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
2,2,7,5,1167,216,88 %,201,378,0.735,Config2_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
3,2,7,5,1124,416,83 %,200,366,0.738,Config3_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
4,2,7,5,1083,224,86 %,188,350,0.736,Config4_VertDyn2_HghtMstr7_Prog5_Birdseye_AL3.png
0,3,7,5,1223,167,87 %,206,387,0.737,Config0_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
1,3,7,5,1098,203,86 %,190,352,0.732,Config1_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
2,3,7,5,1200,197,88 %,206,389,0.734,Config2_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
3,3,7,5,1271,330,86 %,222,413,0.738,Config3_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
4,3,7,5,1114,206,87 %,193,360,0.735,Config4_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
