in:Config,in:Vert_Dyn,in:Hght_mstr,in:Programma,out:Winst GO (%),out:Bouwkosten (€),out:Opbr GO (€),out:PP Balans,out:PPb E1a,out:PPb E1b,out:PPb E1c,out:PPb E2a-1,out:PPb E2a-b,out:PPb E2b,out:PPb E2c,out:GO/BVO (+p),out:# Woningen,out:% GV1K81T,out:% GV2K54T,out:% GV3K69T,out:% GV4K81T,out:% GV4K54E01,img
2,3,6,4,85 %,197.333.987,364.859.940,249,16,61,-36,74,75,85,-26,0.737,1083,21,22,43,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog4_Birdseye_AL3.png
3,3,6,4,83 %,194.771.967,355.752.491,430,222,35,74,62,95,-26,-32,0.736,1036,19,23,42,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog4_Birdseye_AL3.png
4,3,6,4,86 %,181.967.924,338.374.933,215,16,29,74,71,83,-26,-32,0.736,978,19,20,45,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr6_Prog4_Birdseye_AL3.png
0,2,7,4,88 %,205.897.993,387.163.418,169,-8,-2,-61,74,71,121,-26,0.739,1137,20,21,47,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr7_Prog4_Birdseye_AL3.png
1,2,7,4,83 %,180.786.740,331.182.410,273,24,35,-54,74,104,116,-26,0.734,973,19,23,44,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr7_Prog4_Birdseye_AL3.png
2,2,7,4,87 %,208.224.597,388.374.352,206,-8,34,-49,74,75,106,-26,0.737,1156,22,23,43,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr7_Prog4_Birdseye_AL3.png
3,2,7,4,83 %,197.503.169,361.760.955,418,189,35,74,62,116,-26,-32,0.737,1057,19,23,42,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr7_Prog4_Birdseye_AL3.png
4,2,7,4,87 %,189.063.716,353.036.438,188,-8,8,74,71,101,-26,-32,0.736,1026,19,20,45,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr7_Prog4_Birdseye_AL3.png
0,3,7,4,89 %,210.766.229,397.848.702,150,-8,-2,-61,74,71,102,-26,0.739,1166,20,21,48,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog4_Birdseye_AL3.png
1,3,7,4,86 %,196.545.270,365.981.027,209,24,35,-77,74,85,94,-26,0.735,1073,19,23,45,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr7_Prog4_Birdseye_AL3.png
2,3,7,4,87 %,213.460.963,399.718.660,185,-8,34,-49,74,75,85,-26,0.737,1188,21,22,43,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr7_Prog4_Birdseye_AL3.png
3,3,7,4,87 %,219.626.334,409.841.855,329,189,13,44,46,95,-26,-32,0.737,1198,19,23,42,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr7_Prog4_Birdseye_AL3.png
4,3,7,4,88 %,193.490.932,362.724.654,170,-8,8,74,71,83,-26,-32,0.736,1052,19,20,45,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr7_Prog4_Birdseye_AL3.png
0,2,6,5,82 %,173.974.986,316.706.899,298,22,20,-42,108,91,125,-26,0.736,998,22,41,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr6_Prog5_Birdseye_AL3.png
1,2,6,5,79 %,158.926.475,285.046.494,329,47,44,-47,100,100,111,-26,0.73,885,20,42,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog5_Birdseye_AL3.png
2,2,6,5,83 %,174.236.559,318.753.530,325,22,62,-34,108,91,102,-26,0.733,982,18,45,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog5_Birdseye_AL3.png
3,2,6,5,81 %,191.877.321,348.048.149,452,215,38,78,59,120,-26,-32,0.737,1064,19,40,25,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog5_Birdseye_AL3.png
4,2,6,5,82 %,164.075.256,297.957.019,322,22,36,108,100,114,-26,-32,0.734,915,20,41,23,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog5_Birdseye_AL3.png
0,3,6,5,85 %,191.367.712,354.495.749,228,22,20,-42,78,70,106,-26,0.737,1117,23,41,25,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog5_Birdseye_AL3.png
1,3,6,5,84 %,181.592.518,334.507.854,238,22,44,-47,71,83,91,-26,0.732,1040,20,42,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog5_Birdseye_AL3.png
2,3,6,5,86 %,190.894.907,354.839.224,259,22,62,-34,78,74,83,-26,0.734,1095,19,44,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog5_Birdseye_AL3.png
3,3,6,5,82 %,197.131.324,359.173.602,432,215,38,78,59,100,-26,-32,0.737,1099,19,40,26,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog5_Birdseye_AL3.png
4,3,6,5,85 %,181.608.676,335.888.835,252,22,36,78,78,96,-26,-32,0.735,1035,20,40,24,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr6_Prog5_Birdseye_AL3.png
0,2,7,5,87 %,202.084.531,377.227.934,186,-2,-1,-58,78,70,125,-26,0.737,1191,23,42,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr7_Prog5_Birdseye_AL3.png
1,2,7,5,83 %,175.570.344,320.997.792,261,22,30,-47,71,100,111,-26,0.731,999,20,42,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr7_Prog5_Birdseye_AL3.png
2,2,7,5,88 %,201.599.929,378.547.762,216,-2,37,-47,78,74,102,-26,0.735,1167,18,45,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr7_Prog5_Birdseye_AL3.png
3,2,7,5,83 %,200.517.910,366.926.735,416,179,38,78,59,120,-26,-32,0.738,1124,19,40,26,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr7_Prog5_Birdseye_AL3.png
4,2,7,5,86 %,188.401.341,350.482.870,224,-2,14,78,78,114,-26,-32,0.736,1083,20,41,24,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr7_Prog5_Birdseye_AL3.png
0,3,7,5,87 %,206.938.217,387.619.940,167,-2,-1,-58,78,70,106,-26,0.737,1223,23,41,25,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog5_Birdseye_AL3.png
1,3,7,5,86 %,190.280.114,352.928.905,203,22,30,-68,71,83,91,-26,0.732,1098,20,42,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr7_Prog5_Birdseye_AL3.png
2,3,7,5,88 %,206.580.075,389.258.944,197,-2,37,-47,78,74,83,-26,0.734,1200,18,44,24,1,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr7_Prog5_Birdseye_AL3.png
3,3,7,5,86 %,222.163.773,413.904.428,330,179,16,48,45,100,-26,-32,0.738,1271,20,40,26,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr7_Prog5_Birdseye_AL3.png
4,3,7,5,87 %,193.125.260,360.555.700,206,-2,14,78,78,96,-26,-32,0.735,1114,20,41,24,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr7_Prog5_Birdseye_AL3.png
