in:Config,in:Vert_Dyn,in:Hght_mstr,in:Programma,out:Winst GO (%),out:Bouwkosten (€),out:Opbr GO (€),out:PP Balans,out:PPb E1a,out:PPb E1b,out:PPb E1c,out:PPb E2a-1,out:PPb E2a-b,out:PPb E2b,out:PPb E2c,out:GO/BVO (+p),out:# Woningen,out:% GV1K81T,out:% GV2K54T,out:% GV3K69T,out:% GV4K81T,out:% GV4K54E01,img
1,2,6,1,84 %,148.725.379,274.122.373,211,55,43,-43,86,42,54,-26,0.723,737,46,26,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog1_Birdseye_AL3.png
2,2,6,1,87 %,159.731.893,298.969.598,272,30,53,-30,86,74,85,-26,0.725,807,48,25,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog1_Birdseye_AL3.png
3,2,6,1,85 %,180.083.683,333.420.425,383,213,-13,61,53,127,-26,-32,0.728,882,41,28,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog1_Birdseye_AL3.png
4,2,6,1,86 %,154.567.159,286.790.361,208,-28,44,86,107,57,-26,-32,0.723,755,41,25,3,3,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog1_Birdseye_AL3.png
0,3,6,1,91 %,168.520.744,321.008.641,48,-28,16,-37,61,19,43,-26,0.723,858,45,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog1_Birdseye_AL3.png
1,3,6,1,89 %,170.043.076,321.124.216,129,30,43,-43,61,27,37,-26,0.724,864,46,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog1_Birdseye_AL3.png
2,3,6,1,90 %,174.289.388,331.347.267,216,30,53,-30,61,60,68,-26,0.725,893,47,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog1_Birdseye_AL3.png
3,3,6,1,86 %,185.537.866,345.321.853,363,213,-13,61,53,107,-26,-32,0.728,913,41,28,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog1_Birdseye_AL3.png
4,3,6,1,90 %,170.670.954,324.031.867,135,-28,44,61,85,42,-31,-38,0.725,871,40,2,25,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr6_Prog1_Birdseye_AL3.png
0,2,7,1,92 %,178.322.065,342.975.238,10,-48,-2,-52,61,19,58,-26,0.724,919,46,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr7_Prog1_Birdseye_AL3.png
1,2,7,1,88 %,164.416.930,309.006.557,150,30,32,-43,61,42,54,-26,0.724,832,46,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr7_Prog1_Birdseye_AL3.png
2,2,7,1,92 %,184.452.924,353.463.038,179,7,32,-40,61,60,85,-26,0.725,955,48,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr7_Prog1_Birdseye_AL3.png
3,2,7,1,87 %,188.680.500,352.657.209,350,180,-13,61,53,127,-26,-32,0.729,934,41,29,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr7_Prog1_Birdseye_AL3.png
