in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:PB_E1Ba,out:PB_E1Bb,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1_CombiBlok,out:PB_AllBlocksPos,img
Galerij,7,6,11,1084,79,10,33,30,1,5,0,True,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,5,5,8,835,248,28,69,78,50,23,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,5,5,8,979,162,3,42,42,52,23,0,True,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,5,5,8,979,-169,-93,-55,-96,52,23,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,6,5,8,956,163,9,56,54,35,9,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,6,5,8,1059,107,-7,34,32,39,9,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,6,5,8,1059,-224,-103,-63,-106,39,9,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,7,5,8,1075,78,-10,43,30,20,-5,0,False,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,7,5,8,1141,51,-17,27,21,25,-5,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,7,5,8,1141,-280,-113,-70,-117,25,-5,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,5,6,8,889,217,28,60,78,46,5,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,5,6,8,1033,131,3,32,42,49,5,0,True,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,5,6,8,1033,-200,-93,-65,-96,49,5,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,6,6,8,1009,132,9,47,54,31,-9,0,False,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,6,6,8,1113,76,-7,25,32,35,-9,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
